"key","message","comment","context"
"ABS portal","بوابة ABS",,
"App","برنامج",,
"App Portal","بوابة التطبيقات",,
"App portal","بوابة التطبيق",,
"Assign to customer","تعيين للعميل",,
"Assign to supplier","تعيين للمورد",,
"Awaiting invoices","في انتظار الفواتير",,
"Can confirm online","يمكن التأكد عبر الإنترنت",,
"Can pay online","يمكن الدفع عبر الإنترنت",,
"Catalog","كتالوج",,
"Code","شفرة",,
"Company tickets","تذاكر الشركة",,
"Customer helpdesk","مكتب مساعدة العملاء",,
"Customer tickets","تذاكر العملاء",,
"Delivery","توصيل",,
"Display product catalog","عرض كتالوج المنتجات",,
"Electronic signature","التوقيع الإلكتروني",,
"External portal","البوابة الخارجية",,
"Helpdesk","مكتب المساعدة",,
"Invoicing","الفواتير",,
"Last delivery","التسليم الأخير",,
"Last order","الطلب الأخير",,
"Late tickets","التذاكر المتأخرة",,
"Manage delivery","إدارة التسليم",,
"Manage invoices","إدارة الفواتير",,
"Manage projects","إدارة المشاريع",,
"Manage sale orders","إدارة أوامر البيع",,
"Manage tickets","إدارة التذاكر",,
"Modules","وحدات",,
"Months","شهور",,
"My credit notes","ملاحظاتي الائتمانية",,
"My deliveries","توصيلاتي",,
"My invoices","فواتيري",,
"My projects","مشاريعي",,
"My quotations","اقتباساتي",,
"My reversions","ارتداداتي",,
"My space","ماي سبيس",,
"My tickets","التذاكر الخاصة بي",,
"Name","اسم",,
"Next delivery","التسليم القادم",,
"None","لا أحد",,
"Online payment method","طريقة الدفع عبر الإنترنت",,
"Online payment methods","طرق الدفع عبر الإنترنت",,
"Orders in progress","الطلبات قيد التنفيذ",,
"Overdue invoices","الفواتير المتأخرة",,
"Password","كلمة المرور",,
"Planned deliveries","عمليات التسليم المخطط لها",,
"Portal","منفذ",,
"Project","مشروع",,
"Projects","المشاريع",,
"Resolved tickets","التذاكر التي تم حلها",,
"Sale order","أمر البيع",,
"Sum","مجموع",,
"Sum of last 4 months invoices","مجموع فواتير آخر 4 أشهر",,
"Tasks due","المهام المستحقة",,
"Tasks incompleted","المهام غير مكتملة",,
"Total projects","إجمالي المشاريع",,
"Total remaining","المجموع المتبقي",,
"User is not linked with any partner. Please disconnect.","المستخدم غير مرتبط بأي شريك. يرجى قطع الاتصال.",,
"chart","جدول",,
"value:Portal","القيمة:البوابة",,
