"key","message","comment","context"
"<br>Mapping for the query :<br>First Name -> :firstName <br>Last Name -> :lastName <br>Email -> :email <br>Phone -> :phone <br>","<br>تعيين للاستعلام :<br>الاسم الأول -> :firstName <br>الاسم الأخير -> :lastName <br>البريد الإلكتروني -> :email <br>الهاتف -> :phone <br>",,
"A replacement object is missing for model %s.","كائن الاستبدال مفقود للنموذج %s.",,
"Access","الوصول",,
"Activate","تفعيل",,
"Active","نشط",,
"Anonymization result","نتيجة إخفاء الهوية",,
"App","تطبيق",,
"App GDPR","تطبيق إدارة البيانات العامة",,
"App gdpr","تطبيق إدارة البيانات العامة",,
"Archive","أرشيف",,
"Archive data","أرشفة البيانات",,
"Are you sure to cancel the request ?","هل أنت متأكد من إلغاء الطلب؟",,
"Are you sure to confirm the request ?","هل أنت متأكد من تأكيد الطلب؟",,
"Can not find object.","لا يمكن العثور على الكائن.",,
"Cancel","إلغاء",,
"Canceled","ملغى",,
"Code","رمز",,
"Comment","تعليق",,
"Configurations","الإعدادات",,
"Configure how the app will search the datas","تكوين كيفية بحث التطبيق عن البيانات",,
"Configure request origins","تكوين أصول الطلب",,
"Confirm","تأكيد",,
"Confirmed","مؤكد",,
"Data file","ملف البيانات",,
"Data processed","البيانات المعالجة",,
"Datas to exclude configuration","تكوين البيانات التي يجب استبعادها",,
"Description","وصف",,
"Draft","مسودة",,
"Due sending date","تاريخ الإرسال المستحق",,
"Elements to be excluded from the access request","العناصر التي يجب استبعادها من طلب الوصول",,
"Email","البريد الإلكتروني",,
"Email template for access request response","قالب البريد الإلكتروني لاستجابة طلب الوصول",,
"Email template for erasure request response","قالب البريد الإلكتروني لاستجابة طلب الحذف",,
"Email template to send when responding to an access request.","قالب البريد الإلكتروني للإرسال عند الرد على طلب الوصول.",,
"Email template to send when responding to an erasure request.","قالب البريد الإلكتروني للإرسال عند الرد على طلب الحذف.",,
"Erasure","حذف",,
"Error occurred","حدث خطأ",,
"Error while sending the mail : %s","خطأ أثناء إرسال البريد الإلكتروني: %s",,
"Field %s of model %s has not been anonymized. Please check manually.","الحقل %s من النموذج %s لم يتم إخفاء هويته. يرجى التحقق يدويًا.",,
"Field displayed in the result of the research","الحقل المعروض في نتيجة البحث",,
"Fields","الحقول",,
"First name","الاسم الأول",,
"GDPR","إدارة البيانات العامة",,
"GDPR Processing Register Log","سجل معالجة إدارة البيانات العامة",,
"GDPR Request","طلب إدارة البيانات العامة",,
"GDPR app","تطبيق إدارة البيانات العامة",,
"GDPR erasure log","سجل حذف إدارة البيانات العامة",,
"GDPR erasure logs","سجلات حذف إدارة البيانات العامة",,
"GDPR processing register log","سجل معالجة إدارة البيانات العامة",,
"GDPR processing register logs","سجلات معالجة إدارة البيانات العامة",,
"GDPR processing registers","سجلات معالجة إدارة البيانات العامة",,
"GDPR search configuration","تكوين بحث إدارة البيانات العامة",,
"GDPR search configuration lines","خطوط تكوين بحث إدارة البيانات العامة",,
"GDPRRequest.title","طلب إدارة البيانات العامة",,
"Gdpr processing register log list","قائمة سجلات معالجة إدارة البيانات العامة",,
"Gdpr processing register rule list","قائمة قواعد سجلات معالجة إدارة البيانات العامة",,
"Impossible to link with the children meta field %s, no mappedBy field found.","من المستحيل الربط مع حقل البيانات الفرعية %s، لم يتم العثور على حقل mappedBy.",,
"Indicate which date should be verified. If one of the date is after the retention date, the data will not be archived.","حدد التاريخ الذي يجب التحقق منه. إذا كان أحد التواريخ بعد تاريخ الاحتفاظ، فلن يتم أرشفة البيانات.",,
"JPQL filter to add to the query","مرشح JPQL لإضافته إلى الاستعلام",,
"Key","مفتاح",,
"Label","تسمية",,
"Last name","الاسم الأخير",,
"Lead","عميل محتمل",,
"Mapping","تعيين",,
"Maximum days to respond","أقصى عدد من الأيام للرد",,
"Maximum number of days to respond to a request.","أقصى عدد من الأيام للرد على الطلب.",,
"Meta model","نموذج البيانات الوصفية",,
"Missing response email address","عنوان البريد الإلكتروني للاستجابة مفقود",,
"Model","نموذج",,
"Model %s has been anonymized using the anonymizer %s.","تم إخفاء هوية النموذج %s باستخدام أداة إخفاء الهوية %s.",,
"Model id","معرف النموذج",,
"Model log","سجل النموذج",,
"Model to search","النموذج للبحث",,
"Models","نماذج",,
"Name","اسم",,
"Name of the key for the search engine","اسم المفتاح لمحرك البحث",,
"No anonymizer found in app GDPR configuration.","لم يتم العثور على أداة إخفاء الهوية في إعدادات تطبيق إدارة البيانات العامة.",,
"Number of records","عدد السجلات",,
"Partner","شريك",,
"Phone","هاتف",,
"Please configure a mail template for access request response.","يرجى تكوين قالب بريد إلكتروني لاستجابة طلب الوصول.",,
"Please configure a mail template for erasure request response.","يرجى تكوين قالب بريد إلكتروني لاستجابة طلب الحذف.",,
"Please enter at least one field.","يرجى إدخال حقل واحد على الأقل.",,
"Please select a line","يرجى اختيار سطر",,
"Please select at least a pseudonymizer and/or choose to archive the data.","يرجى اختيار أداة إخفاء الهوية واحدة على الأقل و/أو اختيار أرشفة البيانات.",,
"Please select only one line","يرجى اختيار سطر واحد فقط",,
"Processed finished","تم الانتهاء من المعالجة",,
"Processing date","تاريخ المعالجة",,
"Processing register","سجل المعالجة",,
"Processing register - Archiving","سجل المعالجة - الأرشفة",,
"Processing register rule","قاعدة سجل المعالجة",,
"Processing register rules","قواعد سجل المعالجة",,
"Pseudonymizer","أداة إخفاء الهوية",,
"Pseudonymizer template to use when pseudonymizing datas.","قالب أداة إخفاء الهوية للاستخدام عند إخفاء البيانات.",,
"Query","استعلام",,
"Received","تم الاستلام",,
"Reference","مرجع",,
"Register created","تم إنشاء السجل",,
"Relationship Anonymizer","أداة إخفاء الهوية للعلاقات",,
"Relationship anonymizer","أداة إخفاء الهوية للعلاقات",,
"Request date","تاريخ الطلب",,
"Request origin","أصل الطلب",,
"Requests","الطلبات",,
"Requests origin","أصل الطلبات",,
"Requests origins","أصول الطلبات",,
"Response","استجابة",,
"Response email address","عنوان البريد الإلكتروني للاستجابة",,
"Response message","رسالة الاستجابة",,
"Restore","استعادة",,
"Results","النتائج",,
"Retention period (in months)","فترة الاحتفاظ (بالشهور)",,
"Rule","قاعدة",,
"Run process","تشغيل العملية",,
"Search","بحث",,
"Search configuration","تكوين البحث",,
"Search configuration line","خط تكوين البحث",,
"Search configuration lines","خطوط تكوين البحث",,
"Search configurations","تكوينات البحث",,
"Select fields to exclude from the access request response. Leave empty if all fields should be excluded.","اختر الحقول لاستبعادها من استجابة طلب الوصول. اتركها فارغة إذا كان يجب استبعاد جميع الحقول.",,
"Send Response","إرسال الاستجابة",,
"Sending date","تاريخ الإرسال",,
"Sent","تم الإرسال",,
"Status","حالة",,
"This field doesn't exist.","هذا الحقل غير موجود.",,
"Type","نوع",,
"com.axelor.apps.gdpr.job.ProcessingRegisterJob","com.axelor.apps.gdpr.job.ProcessingRegisterJob",,
"result","نتيجة",,
"value:GDPR","القيمة: إدارة البيانات العامة",,
