"key","message","comment","context"
"Calendar per employee","التقويم لكل موظف",,
"Employee planned operations","العمليات المخططة للموظفين",,
"Employee planning","تخطيط الموظفين",,
"Employee real operations","العمليات الحقيقية للموظف",,
"Employees","موظفين",,
"Enable timesheet on manuf order","تمكين الجدول الزمني على أمر manuf",,
"Generate timesheet line on manufacturing operation stop","إنشاء سطر الجدول الزمني عند توقف عملية التصنيع",,
"Invoiced","فاتورة",,
"Manage business production","إدارة إنتاج الأعمال",,
"Manuf order","أمر مانوف",,
"Manuf. Orders Selection","مانوف. اختيار الطلبات",,
"Manufacturing operation","عملية التصنيع",,
"Operation","عملية",,
"Overview","ملخص",,
"Production orders","أوامر الإنتاج",,
"Project","مشروع",,
"Skill needed","المهارة اللازمة",,
"Skills","مهارات",,
"Some working employees do not have their timesheet imputation on manuf order, therefore no timesheet line will be generated for those, do you want to continue anyway ?","بعض الموظفين العاملين ليس لديهم جدول زمني خاص بهم بناءً على أمر التصنيع، وبالتالي لن يتم إنشاء سطر جدول زمني لهؤلاء، هل تريد الاستمرار على أي حال؟",,
"Some working employees have their time logging preference set to 'days' or it is not matching with their current timesheet, do you want to continue anyway ?","تم تعيين تفضيلات تسجيل الوقت لدى بعض الموظفين العاملين على ""أيام"" أو أنها لا تتطابق مع الجدول الزمني الحالي الخاص بهم، هل تريد المتابعة على أي حال؟",,
"Some working users have no employee associated, therefore no timesheet line will be generated for those, do you want to continue anyway ?","بعض المستخدمين العاملين ليس لديهم موظف مرتبط، وبالتالي لن يتم إنشاء سطر جدول زمني لهؤلاء، هل تريد المتابعة على أي حال؟",,
"There are timesheet still waiting validation on this manuf order, do you want to continue anyway ?","لا يزال هناك جدول زمني في انتظار التحقق من أمر التصنيع هذا، هل تريد المتابعة على أي حال؟",,
"There are timesheet still waiting validation on this manufacturing operation, do you want to continue anyway ?","لا يزال هناك جدول زمني في انتظار التحقق من صحة عملية التصنيع هذه، هل تريد المتابعة على أي حال؟",,
"Time logging preference for employee %s is not yet taken into account for duration computation","لم يتم بعد أخذ تفضيل تسجيل الوقت للموظف %s بعين الاعتبار لحساب المدة",,
"Timesheet Line","خط الجدول الزمني",,
"Timesheet Lines","خطوط الجدول الزمني",,
"Timesheet imputed on","الجدول الزمني المنسوب على",,
"Timesheet imputed on manufacturing order","الجدول الزمني المنسوب على أمر التصنيع",,
"Timesheet imputed on project","الجدول الزمني المنسوب على المشروع",,
"Timesheet line","خط الجدول الزمني",,
"Timesheet lines","خطوط الجدول الزمني",,
"Timesheet on manuf order is not enabled.","لم يتم تمكين الجدول الزمني لأمر التصنيع.",,
"To Invoice","إلى الفاتورة",,
"To invoice","للفاتورة",,
"Warning, this manuforder is finished","تحذير، تم الانتهاء من هذا المصنع",,
"Warning, this manuforder is from another company.","تحذير هذا المصنع من شركة أخرى.",,
"Work center","مركز العمل",,
