"key","message","comment","context"
"+10 years","+10 سنوات",,,
"0 %","0٪",,,
"0-2 years","0-2 سنوات",,,
"10 %","10٪",,,
"100 %","100٪",,,
"2-5 years","2-5 سنوات",,,
"20 %","20٪",,,
"30 %","30٪",,,
"40 %","40٪",,,
"5-10 years","5-10 سنوات",,,
"50 %","50٪",,,
"60 %","60٪",,,
"70 %","70٪",,,
"80 %","80٪",,,
"90 %","90٪",,,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,,
"A new employee form will be created. Do you confirm the creation ?","سيتم إنشاء نموذج موظف جديد. هل تؤكد الإنشاء؟",,,
"Address","العنوان",,,
"All applications","جميع الطلبات",,,
"All trainings","جميع الدورات التدريبية",,,
"App","تطبيق",,,
"App recruitment","تطبيق التوظيف",,,
"Application Information","معلومات الطلب",,,
"Applications","الطلبات",,,
"Applied :","تم التقديم :",,,
"Applied job","الوظيفة المتقدم لها",,,
"Appraisal","تقييم",,,
"Appraisal cancelled","تم إلغاء التقييم",,,
"Appraisal draft","مسودة التقييم",,,
"Appraisal filters","مرشحات التقييم",,,
"Appraisal realized","تم تنفيذ التقييم",,,
"Appraisal sent","تم إرسال التقييم",,,
"Appraisal template","نموذج التقييم",,,
"Appraisal templates","نماذج التقييم",,,
"Appraisal type","نوع التقييم",,,
"Appraisal types","أنواع التقييم",,,
"Appraisals","التقييمات",,,
"Appreciation","تقدير",,,
"Availability from","متاح من",,,
"Business sectors","قطاعات الأعمال",,,
"Cadre","إطار",,,
"Calendar","التقويم",,,
"Cancel","إلغاء",,,
"Cancel session","إلغاء الجلسة",,,
"Canceled","ملغي",,,
"Categories","الفئات",,,
"Category","الفئة",,,
"Clearance","إخلاء طرف",,,
"Close","إغلاق",,,
"Closed","مغلق",,,
"Closed job offers","عروض الوظائف المغلقة",,,
"Code","الرمز",,,
"Company","الشركة",,,
"Competence certificate","شهادة الكفاءة",,,
"Complete session","إكمال الجلسة",,,
"Completed","مكتمل",,,
"Completed trainings of all employees of a team","التدريبات المكتملة لجميع موظفي الفريق",,,
"Configuration","الإعدادات",,,
"Contact","الاتصال",,,
"Contact details","تفاصيل الاتصال",,,
"Contract","العقد",,,
"Contract type","نوع العقد",,,
"Create","إنشاء",,,
"Create Appraisal(Select Employees)","إنشاء تقييم (اختيار الموظفين)",,,
"Create Appraisals","إنشاء التقييمات",,,
"Create Appraisals(Select Employees)","إنشاء التقييمات (اختيار الموظفين)",,,
"Create a job application","إنشاء طلب وظيفة",,,
"Current job offers","عروض الوظائف الحالية",,,
"Dashboard","لوحة التحكم",,,
"Date of application","تاريخ التقديم",,,
"Deadline","الموعد النهائي",,,
"Department","القسم",,,
"Description","الوصف",,,
"Disposal","التخلص",,,
"Dms file","ملف DMS",,,
"Draft","مسودة",,,
"Education level","المستوى التعليمي",,,
"Email","البريد الإلكتروني",,,
"Employee","الموظف",,,
"Employee hired","تم تعيين الموظف",,,
"Employees","الموظفون",,,
"End of validity date","نهاية تاريخ الصلاحية",,,
"Event list","قائمة الأحداث",,,
"Events","الأحداث",,,
"Expected salary","الراتب المتوقع",,,
"Experience","الخبرة",,,
"Fax","فاكس",,,
"First name","الاسم الأول",,,
"Fixed phone","الهاتف الثابت",,,
"From","من",,,
"From date","من تاريخ",,,
