"key","message","comment","context"
"Action","إجراء",,,
"Actions","إجراءات",,,
"All reached","تم الوصول إلى الكل",,,
"Allocate all","تخصيص الكل",,,
"Alternative Bill of materials","بديل لائحة المواد",,,
"Assigned to","مخصص لـ",,,
"BOM.machine","آلة BOM",,,
"Bill of Materials","لائحة المواد",,,
"Bill of materials","لائحة المواد",,,
"Bills of material","فواتير المواد",,,
"Bills of materials","فواتير المواد",,,
"Cancel","إلغاء",,,
"Cancel Reason","سبب الإلغاء",,,
"Cancel reservation","إلغاء الحجز",,,
"Canceled","ملغى",,,
"Complete","اكتمال",,,
"Completed","مكتمل",,,
"Compute cost price","احسب سعر التكلفة",,,
"Configuration","تكوين",,,
"Consumed products","المنتجات المستهلكة",,,
"Corrective","تصحيحي",,,
"Cost","تكلفة",,,
"Create maintenance request","إنشاء طلب صيانة",,,
"Current requests","الطلبات الحالية",,,
"Cycles","دورات",,,
"Dates","تواريخ",,,
"Days","أيام",,,
"Deallocate all","إلغاء تخصيص الكل",,,
"Default Bill of materials","لائحة المواد الافتراضية",,,
"Done on","تم في",,,
"Duration (Hours)","المدة (ساعات)",,,
"End date","تاريخ الانتهاء",,,
"Equipement maintenance","صيانة المعدات",,,
"Equipement maintenances","صيانة المعدات",,,
"Event end date","تاريخ انتهاء الحدث",,,
"Event start date","تاريخ بدء الحدث",,,
"Expected date","التاريخ المتوقع",,,
"Finish","إنهاء",,,
"First reached","تم الوصول أولاً",,,
"General BoM","قائمة المواد العامة",,,
"General production processes","عمليات الإنتاج العامة",,,
"Generate new version","إنشاء إصدار جديد",,,
"Generate request each","إنشاء طلب لكل",,,
"Hours of production","ساعات الإنتاج",,,
"In progress","قيد التقدم",,,
"MO's comment from sale order","تعليق MO من طلب البيع",,,
"MO's comment from sale order line","تعليق MO من خط طلب البيع",,,
"Machine","آلة",,,
"Machine type","نوع الآلة",,,
"Machines","آلات",,,
"Machines unavailable","الآلات غير متاحة",,,
"Maintenance","صيانة",,,
"Maintenance Category","فئة الصيانة",,,
"Maintenance File","ملف الصيانة",,,
"Maintenance Procedure","إجراء الصيانة",,,
"Maintenance Request","طلب صيانة",,,
"Maintenance Requests","طلبات الصيانة",,,
"Maintenance bill of materials template","قالب لائحة المواد لطلب الصيانة",,,
"Maintenance comments","تعليقات الصيانة",,,
"Maintenance manuf order template","قالب طلب تصنيع الصيانة",,,
"Maintenance order","طلب صيانة",,,
"Maintenance orders","طلبات الصيانة",,,
"Maintenance periods","فترات الصيانة",,,
"Maintenance prod process template","قالب عملية إنتاج الصيانة",,,
"Maintenance task","مهمة الصيانة",,,
"ManufOrder.machine","آلة طلب التصنيع",,,
"ManufOrder.machineType","نوع آلة طلب التصنيع",,,
"Manufacturing Order","طلب التصنيع",,,
"Manufacturing order","طلب التصنيع",,,
"Manufacturing orders","طلبات التصنيع",,,
"Merged MO","MO المدمجة",,,
"Missing equipement maintenance sequence.","تسلسل صيانة المعدات مفقود.",,,
"My Maintenance requests","طلبات صيانتي",,,
"Name","اسم",,,
"Next maintenance date","تاريخ الصيانة التالي",,,
"Note","ملاحظة",,,
"Number of phases","عدد المراحل",,,
"Options","خيارات",,,
"Outsourced","مستعان به",,,
"Partial Finish","إنهاء جزئي",,,
"Pause","إيقاف مؤقت",,,
"Permanent","دائم",,,
"Personalized production processes","عمليات الإنتاج المخصصة",,,
"Phases","مراحل",,,
"Plan","خطة",,,
"Planned dates","التواريخ المخططة",,,
"Please select the Manufacturing order(s) to print.","يرجى تحديد طلبات التصنيع للطباعة.",,,
"Pre-fill operations","عمليات التعبئة المسبقة",,,
"Preventive","وقائي",,,
"Print","طباعة",,,
"Print Production Process","طباعة عملية الإنتاج",,,
"ProdProcess.machine","آلة عملية الإنتاج",,,
"Product","منتج",,,
"Production configuration","تكوين الإنتاج",,,
"Production process","عملية الإنتاج",,,
"Production processes","عمليات الإنتاج",,,
"Real dates","تواريخ حقيقية",,,
"Replan","إعادة التخطيط",,,
"Reports","تقارير",,,
"Request By","طلب بواسطة",,,
"Request date","تاريخ الطلب",,,
"Request history","تاريخ الطلب",,,
"Reserve all","احجز الكل",,,
"Residual products","المنتجات المتبقية",,,
"Resume","استئناف",,,
"Sequence","تسلسل",,,
"Start","بدء",,,
"Start date","تاريخ البدء",,,
"State","حالة",,,
"Total Lead Duration","إجمالي مدة القيادة",,,
"Total Planned Duration","إجمالي المدة المخططة",,,
"Total Real Duration","إجمالي المدة الحقيقية",,,
"Type","نوع",,,
"Update planned quantities (Components and FP)","تحديث الكميات المخططة (المكونات و FP)",,,
"Update product cost price","تحديث سعر تكلفة المنتج",,,
"Update real quantities (Components and FP)","تحديث الكميات الحقيقية (المكونات و FP)",,,
"Version management","إدارة الإصدارات",,,
"equipement.maintenance.code","رمز صيانة المعدات",,,
"equipement.maintenance.image","صورة صيانة المعدات",,,
"equipement.maintenance.name","اسم صيانة المعدات",,,
"maintenance.request.planned","طلب الصيانة المخطط",,,
"value:Maintenance","القيمة: صيانة",,,
